id,county,movedin,movedout,movednet
27015,"Brown County, Minnesota",0,15,-15
27037,"Dakota County, Minnesota",100,0,100
27053,"Hennepin County, Minnesota",0,175,-175
27055,"Houston County, Minnesota",0,50,-50
27139,"Scott County, Minnesota",30,0,30
27145,"Stearns County, Minnesota",85,0,85
27147,"Steele County, Minnesota",0,335,-335
28001,"Adams County, Mississippi",550,15,535
28003,"Alcorn County, Mississippi",330,205,125
28007,"Attala County, Mississippi",210,50,160
28009,"Benton County, Mississippi",725,245,480
28011,"Bolivar County, Mississippi",715,1060,-345
28013,"Calhoun County, Mississippi",325,50,275
28017,"Chickasaw County, Mississippi",40,215,-175
28019,"Choctaw County, Mississippi",0,5,-5
28021,"Claiborne County, Mississippi",15,55,-40
28023,"Clarke County, Mississippi",115,30,85
28025,"Clay County, Mississippi",100,0,100
28027,"Coahoma County, Mississippi",2620,40,2580
28029,"Copiah County, Mississippi",415,410,5
28035,"Forrest County, Mississippi",545,1245,-700
28041,"Greene County, Mississippi",40,175,-135
28043,"Grenada County, Mississippi",585,15,570
28045,"Hancock County, Mississippi",0,605,-605
28047,"Harrison County, Mississippi",1610,1735,-125
28049,"Hinds County, Mississippi",725,1470,-745
28051,"Holmes County, Mississippi",0,45,-45
28055,"Issaquena County, Mississippi",100,10,90
28057,"Itawamba County, Mississippi",415,260,155
28059,"Jackson County, Mississippi",195,1960,-1765
28067,"Jones County, Mississippi",0,290,-290
28069,"Kemper County, Mississippi",140,45,95
28071,"Lafayette County, Mississippi",3970,3740,230
28073,"Lamar County, Mississippi",30,1490,-1460
28075,"Lauderdale County, Mississippi",260,110,150
28079,"Leake County, Mississippi",0,65,-65
28081,"Lee County, Mississippi",1575,850,725
28083,"Leflore County, Mississippi",1540,120,1420
28085,"Lincoln County, Mississippi",505,80,425
28087,"Lowndes County, Mississippi",565,285,280
28089,"Madison County, Mississippi",1040,190,850
28091,"Marion County, Mississippi",0,35,-35
28093,"Marshall County, Mississippi",6335,8355,-2020
28095,"Monroe County, Mississippi",650,205,445
28099,"Neshoba County, Mississippi",0,40,-40
28101,"Newton County, Mississippi",0,30,-30
28105,"Oktibbeha County, Mississippi",820,4025,-3205
28107,"Panola County, Mississippi",2355,1495,860
28109,"Pearl River County, Mississippi",0,150,-150
28111,"Perry County, Mississippi",0,110,-110
28113,"Pike County, Mississippi",130,45,85
28115,"Pontotoc County, Mississippi",130,45,85
28117,"Prentiss County, Mississippi",160,350,-190
28119,"Quitman County, Mississippi",1575,75,1500
28121,"Rankin County, Mississippi",1260,1300,-40
28123,"Scott County, Mississippi",95,0,95
28125,"Sharkey County, Mississippi",195,35,160
28127,"Simpson County, Mississippi",0,115,-115
28131,"Stone County, Mississippi",10,10,0
28133,"Sunflower County, Mississippi",2965,720,2245
28135,"Tallahatchie County, Mississippi",595,265,330
28137,"Tate County, Mississippi",6385,7190,-805
28139,"Tippah County, Mississippi",335,380,-45
28141,"Tishomingo County, Mississippi",155,310,-155
28143,"Tunica County, Mississippi",4090,1545,2545
28145,"Union County, Mississippi",0,760,-760
28147,"Walthall County, Mississippi",315,5,310
28149,"Warren County, Mississippi",0,25,-25
28151,"Washington County, Mississippi",480,190,290
28155,"Webster County, Mississippi",0,240,-240
28159,"Winston County, Mississippi",290,75,215
28161,"Yalobusha County, Mississippi",225,205,20
28163,"Yazoo County, Mississippi",75,25,50
29019,"Boone County, Missouri",960,0,960
29023,"Butler County, Missouri",0,25,-25
29037,"Cass County, Missouri",320,0,320
29059,"Dallas County, Missouri",95,0,95
29069,"Dunklin County, Missouri",140,70,70
29073,"Gasconade County, Missouri",285,0,285
29077,"Greene County, Missouri",0,85,-85
29095,"Jackson County, Missouri",0,65,-65
29097,"Jasper County, Missouri",0,290,-290
29099,"Jefferson County, Missouri",60,740,-680
29101,"Johnson County, Missouri",0,20,-20
