0,1,2,3,4,5,6,7
FULL2_NAME,GEOID2,MOVEDIN,MOVEDOUT,MOVEDNET,SUMLEV2,state,county
"York County, South Carolina",45091,0,37,-37,50,28,033
"Lake County, South Dakota",46079,0,12,-12,50,28,033
"Benton County, Tennessee",47005,0,122,-122,50,28,033
"Bradley County, Tennessee",47011,0,10,-10,50,28,033
"Carroll County, Tennessee",47017,36,0,36,50,28,033
"Cumberland County, Tennessee",47035,0,322,-322,50,28,033
"Davidson County, Tennessee",47037,0,61,-61,50,28,033
"Decatur County, Tennessee",47039,0,17,-17,50,28,033
"Dyer County, Tennessee",47045,55,0,55,50,28,033
"Fayette County, Tennessee",47047,19,20,-1,50,28,033
"Gibson County, Tennessee",47053,0,36,-36,50,28,033
"Hamilton County, Tennessee",47065,0,25,-25,50,28,033
"Hardeman County, Tennessee",47069,107,0,107,50,28,033
"Hawkins County, Tennessee",47073,37,0,37,50,28,033
"Haywood County, Tennessee",47075,0,11,-11,50,28,033
"Henry County, Tennessee",47079,21,0,21,50,28,033
"Humphreys County, Tennessee",47085,0,17,-17,50,28,033
"Knox County, Tennessee",47093,10,10,0,50,28,033
"McNairy County, Tennessee",47109,77,8,69,50,28,033
"Madison County, Tennessee",47113,0,11,-11,50,28,033
"Maury County, Tennessee",47119,0,52,-52,50,28,033
"Montgomery County, Tennessee",47125,5,0,5,50,28,033
"Rutherford County, Tennessee",47149,0,62,-62,50,28,033
"Shelby County, Tennessee",47157,4147,2002,2145,50,28,033
"Sullivan County, Tennessee",47163,0,30,-30,50,28,033
"Sumner County, Tennessee",47165,116,0,116,50,28,033
"Tipton County, Tennessee",47167,92,110,-18,50,28,033
"Washington County, Tennessee",47179,0,22,-22,50,28,033
"Wilson County, Tennessee",47189,34,0,34,50,28,033
"Bexar County, Texas",48029,0,20,-20,50,28,033
"Collin County, Texas",48085,0,61,-61,50,28,033
"Dallas County, Texas",48113,12,58,-46,50,28,033
"Denton County, Texas",48121,0,26,-26,50,28,033
"Harris County, Texas",48201,54,19,35,50,28,033
"Montgomery County, Texas",48339,0,69,-69,50,28,033
"Tarrant County, Texas",48439,53,70,-17,50,28,033
"Wichita County, Texas",48485,0,6,-6,50,28,033
"Garfield County, Utah",49017,0,1,-1,50,28,033
"Salt Lake County, Utah",49035,0,31,-31,50,28,033
"Botetourt County, Virginia",51023,33,0,33,50,28,033
"Chesterfield County, Virginia",51041,17,0,17,50,28,033
"King County, Washington",53033,0,34,-34,50,28,033
"Pierce County, Washington",53053,0,7,-7,50,28,033
"Snohomish County, Washington",53061,0,14,-14,50,28,033
"Monongalia County, West Virginia",54061,0,15,-15,50,28,033
"Nicholas County, West Virginia",54067,11,0,11,50,28,033
"Milwaukee County, Wisconsin",55079,59,0,59,50,28,033
"Sauk County, Wisconsin",55111,0,29,-29,50,28,033
